Index,FOF_Halo_ID_At99,Subhalo_ID_At99,FOF_Halo_ID_At92,Subhalo_ID_At92,GroupPos,Group_R_Crit200,Group_R_Crit500
220,16137289,8961928,16255032,"[474601.71875, 317395.28125, 531089.8125]",1231.6497802734375,820.4313354492188
221,16171546,8982430,16289706,"[609918.5, 23442.712890625, 570958.6875]",1252.0985107421875,768.3575439453125
222,16207140,9000577,16325015,"[110716.1484375, 58434.78125, 432236.65625]",1215.7109375,810.0875854492188
223,16242314,9020100,16360038,"[570016.4375, 530626.75, 530107.5]",1047.7574462890625,679.6363525390625
224,16276166,9041035,16393184,"[230413.90625, 507333.90625, 515056.21875]",1111.0380859375,714.4369506835938
225,16311240,9060814,16429148,"[157928.8125, 634013.75, 211524.03125]",1220.34228515625,756.9767456054688
226,16348359,9081188,16465970,"[268222.8125, 377953.59375, 171567.546875]",1129.6334228515625,664.4342651367188
227,16376258,9101262,16496056,"[342150.34375, 402394.59375, 273601.3125]",1175.6007080078125,778.4413452148438
228,16420527,9118181,16538026,"[197780.125, 147653.75, 4475.4638671875]",1216.54736328125,818.7794189453125
229,16460046,9136510,16576588,"[242144.109375, 45516.12109375, 349336.0]",1223.9598388671875,806.2835693359375
230,16493902,9154561,16610573,"[223555.015625, 560677.3125, 58896.453125]",1177.782470703125,799.6697998046875
231,16529449,9173776,16647210,"[342692.0625, 506482.96875, 178104.25]",1097.501953125,728.6640625
232,16561645,9194449,16680418,"[575559.0, 176515.203125, 203642.203125]",1155.7080078125,746.074462890625
233,16596897,9213274,16716254,"[660339.875, 166124.65625, 157426.125]",1104.0826416015625,722.9711303710938
234,16634007,9230728,16754349,"[220983.359375, 399694.84375, 153940.921875]",1216.1656494140625,776.1082763671875
235,16665012,9250141,16785635,"[514597.90625, 550414.0, 560872.25]",1232.345947265625,787.2871704101562
236,16699050,9267843,16817020,"[481773.0625, 207501.515625, 525730.0]",1131.7418212890625,740.3936767578125
