Index,FOF_Halo_ID_At99,Subhalo_ID_At84,FOF_Halo_ID_At84,GroupPos,Group_R_Crit200,Group_R_Crit500
188,14814156,8651442,15075264,"[148976.265625, 641496.125, 348211.15625]",1236.8704833984375,804.1012573242188
189,14859514,8675949,15120042,"[531891.1875, 372266.6875, 646701.625]",1193.93603515625,788.077880859375
190,14900038,8699877,15160903,"[478580.9375, 315979.9375, 105513.5078125]",1102.695556640625,681.2655029296875
191,14940417,8727112,15206067,"[191779.734375, 548745.125, 560212.625]",1357.0096435546875,892.6498413085938
192,14985016,8753417,15247173,"[297912.03125, 258547.453125, 190816.859375]",1100.398681640625,705.836181640625
193,15031462,8778106,15291451,"[187962.59375, 618496.75, 210311.53125]",1367.15869140625,867.0433349609375
194,15087132,8801029,15341007,"[267929.96875, 514619.8125, 647482.375]",994.1412963867188,647.4906616210938
195,15125179,8828920,15385189,"[560853.5625, 597502.1875, 336856.5625]",1336.59375,857.1122436523438
196,15172951,8854968,15430889,"[183191.78125, 594939.625, 184704.59375]",1297.5860595703125,784.37109375
197,15214679,8880008,15470983,"[452771.1875, 617062.8125, 402652.625]",1283.8504638671875,855.6637573242188
198,15264704,8905817,15517901,"[164422.8125, 292486.84375, 676111.8125]",1036.3851318359375,642.5479125976562
199,15304907,8930302,15562043,"[645274.75, 549266.75, 153312.46875]",1089.9189453125,741.642578125
200,15348580,8956448,15608847,"[369472.78125, 85119.1953125, 521330.8125]",1195.4234619140625,774.3089599609375
201,15386285,8980664,15650347,"[545093.3125, 116461.875, 123116.5859375]",1269.592529296875,823.1336059570312
202,15428207,9004656,15691936,"[57494.84375, 537864.5, 673699.1875]",1236.688720703125,820.6470336914062
203,15465516,9031681,15732682,"[629032.8125, 362321.03125, 95918.8203125]",1166.771728515625,749.5718994140625
204,15500142,9056171,15770874,"[117776.375, 488006.65625, 643923.75]",1333.024169921875,897.0650024414062
205,15543062,9078891,15814214,"[99400.765625, 48231.75, 442878.375]",1202.02783203125,773.3746948242188
206,15586138,9103762,15858520,"[244157.21875, 124246.875, 172299.140625]",991.2401733398438,654.3511352539062
207,15620242,9128478,15895667,"[264905.3125, 401451.0625, 623785.625]",1274.0716552734375,857.0150756835938
208,15668851,9154955,15939153,"[237501.828125, 629899.0, 349853.03125]",1254.4713134765625,840.472900390625
209,15708936,9178761,15981083,"[285090.1875, 644040.9375, 144033.28125]",1068.5850830078125,644.3392333984375
210,15746111,9202243,16023780,"[647666.3125, 341529.71875, 268988.96875]",1137.526123046875,672.9039916992188
211,15789938,9227949,16067890,"[80322.0859375, 646442.0, 526250.4375]",1321.5487060546875,881.1566772460938
212,15834634,9253598,16113365,"[609787.25, 454260.4375, 51662.36328125]",1326.9984130859375,851.4939575195312
213,15876167,9278432,16151289,"[367742.375, 348295.0, 449816.65625]",1306.6705322265625,868.946044921875
214,15916351,9299510,16190590,"[324396.0625, 123787.578125, 642825.125]",1161.701904296875,764.840087890625
215,15955034,9326278,16230920,"[578963.375, 483766.0, 519103.875]",1218.82373046875,813.246337890625
216,15989514,9351824,16267749,"[193780.609375, 197253.375, 464317.84375]",1281.379150390625,847.119140625
217,16033074,9372972,16309891,"[556379.25, 76768.6796875, 502180.3125]",1013.5355224609375,634.8980102539062
218,16065958,9395922,16349839,"[601095.0625, 385602.78125, 642762.25]",1254.3953857421875,786.2971801757812
219,16103108,9419077,16388583,"[416502.46875, 235059.671875, 640086.75]",916.4110717773438,579.9225463867188
220,16137289,9439819,16427321,"[474044.25, 317504.1875, 530571.5]",1254.4501953125,817.5680541992188
221,16171546,9461455,16462749,"[610040.875, 23460.53515625, 571670.25]",1118.1485595703125,728.2095947265625
222,16207140,9480893,16498961,"[111062.21875, 58467.76953125, 431934.0]",1282.3328857421875,835.1633911132812
223,16242314,9501405,16533631,"[570304.0, 531080.1875, 529869.3125]",1168.981689453125,767.5665893554688
224,16276166,9523059,16566013,"[230207.578125, 507602.0625, 514812.75]",1262.5404052734375,808.3046264648438
225,16311240,9543673,16602584,"[157663.734375, 634269.5625, 211476.15625]",1227.363525390625,753.8397216796875
226,16348359,9565073,16637109,"[268629.59375, 378292.3125, 171549.234375]",984.904052734375,636.287841796875
227,16376258,9586137,16669220,"[342115.53125, 402656.46875, 273499.65625]",1224.786865234375,783.945556640625
228,16420527,9604098,16707333,"[198517.1875, 147557.671875, 4055.908203125]",1244.4951171875,814.99560546875
229,16460046,9623455,16746257,"[242337.46875, 45817.7265625, 349023.5625]",1250.554443359375,812.7791748046875
230,16493902,9642736,16783196,"[223434.765625, 560454.875, 58772.30859375]",1257.1812744140625,824.2174072265625
231,16529449,9662874,16817419,"[343230.90625, 506047.03125, 178213.015625]",1099.5338134765625,703.9854736328125
232,16561645,9684469,16850749,"[575758.875, 176421.265625, 203280.265625]",1087.4219970703125,724.9741821289062
233,16596897,9704253,16887424,"[660381.1875, 166053.078125, 157483.8125]",1146.31396484375,733.7662353515625
234,16634007,9722871,16926184,"[220937.203125, 399920.1875, 154552.09375]",1084.1844482421875,695.3993530273438
235,16665012,9743417,16957500,"[514460.09375, 550718.4375, 560991.1875]",1275.19970703125,868.9052124023438
236,16699050,9762301,16989050,"[481858.8125, 207527.671875, 525631.0625]",1000.9142456054688,575.3067016601562
237,16731208,9782373,17022321,"[165072.953125, 475082.0, 24885.76171875]",1229.19384765625,793.914306640625
238,16762704,9803870,17056006,"[491505.78125, 591483.5625, 457081.875]",1167.1082763671875,755.7764282226562
239,16796850,9821989,17088453,"[614149.75, 105007.65625, 6695.462890625]",1218.114990234375,776.3552856445312
240,16831490,9842105,17122549,"[57607.6953125, 409551.875, 417664.71875]",1091.106689453125,726.884765625
241,16860243,9862271,17153358,"[490068.4375, 86669.3515625, 109018.7890625]",971.6085205078125,633.4063110351562
242,16892124,9882817,17186809,"[587093.4375, 328134.96875, 585096.8125]",671.9571533203125,417.6959228515625
243,16921354,9904386,17219533,"[439453.78125, 596224.375, 395283.53125]",1137.4384765625,761.4551391601562
244,16951023,9925107,17252239,"[230008.671875, 236705.84375, 120135.125]",1027.469482421875,681.2190551757812
245,16976876,9944412,17282014,"[256986.015625, 659527.9375, 447142.53125]",1183.0430908203125,762.3792724609375
246,17008669,9963152,17313871,"[353097.03125, 76981.2578125, 302683.4375]",958.6348876953125,621.777587890625
247,17037164,9982427,17344823,"[63808.0078125, 42649.81640625, 64368.53125]",1180.1910400390625,767.9559936523438
248,17068674,10002434,17379158,"[59602.1953125, 451814.53125, 148598.0625]",881.9237060546875,567.3748168945312
249,17098902,10021435,17412194,"[238422.78125, 169620.0625, 165211.265625]",1035.458251953125,693.8618774414062
250,17129688,10041199,17443384,"[308190.0, 141805.65625, 565281.5625]",657.4920043945312,428.93145751953125
251,17164637,10058986,17479485,"[221404.890625, 89999.71875, 553151.0625]",1177.8663330078125,803.9902954101562
252,17195160,10077362,17510142,"[477619.625, 660143.0, 93985.25]",1232.6964111328125,800.98681640625
253,17222002,10093794,17536971,"[128221.6015625, 92492.5546875, 327865.3125]",1051.7095947265625,700.1441650390625
254,17250499,10110413,17567216,"[535296.75, 104171.53125, 291690.875]",1003.2662353515625,602.69091796875
255,17283893,10129434,17599176,"[282793.9375, 540559.5625, 23744.31640625]",1077.718505859375,646.307373046875
256,17315353,10146632,17633347,"[271180.84375, 398435.6875, 637918.0]",971.2210083007812,586.811767578125
257,17352215,10165618,17669637,"[373381.34375, 136.71875, 67609.8359375]",1167.544921875,754.7360229492188
258,17382530,10182757,17699372,"[283793.84375, 97016.90625, 589029.125]",1182.279052734375,794.1986083984375
259,17411815,10198250,17729173,"[280679.0625, 542648.5, 419295.25]",1010.3627319335938,653.4376220703125
260,17440255,10214072,17757919,"[174000.65625, 334053.125, 285847.84375]",1075.202880859375,722.7164916992188
